file,average_tempo,average_bpm,note_count,tick_count,note_density,tempo_deviation,unique_note_count,total_duration,overlapping_notes
Bach - 018007b_.csv,625000.0,96.0,332,81920,0.004052734375,0.0,25,409600,84
Bach - 018305b_.csv,625000.0,96.0,324,69633,0.0046529662659945716,0.0,24,348165,88
Bach - 018405bv.csv,625000.0,96.0,404,81920,0.004931640625,0.0,27,491520,123
Bach - 018405b_.csv,625000.0,96.0,404,81920,0.004931640625,0.0,27,491520,123
Bach - 018506b_.csv,625000.0,96.0,432,73729,0.005859295528218205,0.0,34,442374,130
Bach - 018707b_.csv,625000.0,96.0,282,86016,0.0032784598214285715,0.0,30,430080,78
Bach - 018806b_.csv,625000.0,96.0,204,52224,0.00390625,0.0,25,261120,61
Bach - 019007b_.csv,625000.0,96.0,1643,135168,0.01215524384469697,0.0,38,1351680,543
Bach - 019007ch.csv,625000.0,96.0,444,134145,0.003309851280330985,0.0,33,670725,145
Bach - 019406bv.csv,625000.0,96.0,293,69633,0.004207775049186449,0.0,26,348165,76
Bach - 019406b_.csv,625000.0,96.0,293,69633,0.004207775049186449,0.0,26,348165,76
Bach - 019412b_.csv,500000.0,120.0,189,52224,0.003619025735294118,0.0,22,313344,65
Bach - 019506b_.csv,625000.0,96.0,372,44032,0.008448401162790697,0.0,25,352256,124
Bach - 019705b_.csv,625000.0,96.0,279,61441,0.004540941716443417,0.0,27,307205,84
Bach - 019707ba.csv,625000.0,96.0,258,69633,0.0037051398044030846,0.0,24,348165,77
Bach - 019710b_.csv,638297.0,94.00012846684224,228,62464,0.0036501024590163936,0.0,23,312320,78
Bach - 02 Menuet.csv,467968.98230088496,128.21362583689884,856,23040,0.03715277777777778,23108.35282908892,25,92130,416
Bach - 02. Christe Eleison .csv,858671.0240846613,69.87542180541108,7468,41280,0.1809108527131783,33580.13373908661,45,288960,4633
Bach - 022602bv.csv,652173.0,92.00012880018032,426,102400,0.00416015625,0.0,28,512000,128
Bach - 022602b_.csv,652173.0,92.00012880018032,426,102400,0.00416015625,0.0,28,512000,128
Bach - 022701b_.csv,625000.0,96.0,279,77824,0.0035850123355263158,0.0,28,389120,76
Bach - 022703b_.csv,625000.0,96.0,370,77824,0.004754317434210526,0.0,31,466944,102
Bach - 022707b_.csv,789473.0,76.00006586672374,413,77824,0.005306846217105263,0.0,33,389120,111
Bach - 022709b_.csv,750000.0,80.0,972,217088,0.004477446933962264,0.0,31,1085440,264
Bach - 022711b_.csv,625000.0,96.0,279,77824,0.0035850123355263158,0.0,28,389120,76
Bach - 022902b_.csv,625000.0,96.0,359,86016,0.004173642113095238,0.0,37,430080,101
Bach - 024310b_.csv,625000.0,96.0,570,113664,0.005014780405405405,0.0,29,795648,161
Bach - 024403b_.csv,625000.0,96.0,193,49152,0.003926595052083333,0.0,28,245760,58
Bach - 024410b_.csv,600000.0,100.0,221,53248,0.004150390625,0.0,24,266240,64
Bach - 024415bv.csv,625000.0,96.0,259,69633,0.003719500811396895,0.0,25,348165,77
Bach - 024415b_.csv,625000.0,96.0,259,69633,0.003719500811396895,0.0,25,348165,77
Bach - 024417bv.csv,625000.0,96.0,259,69633,0.003719500811396895,0.0,25,348165,77
Bach - 024417b_.csv,625000.0,96.0,259,69633,0.003719500811396895,0.0,25,348165,77
Bach - 024425b_.csv,625000.0,96.0,310,69633,0.004451912168081226,0.0,29,348165,75
Bach - 024429bb.csv,625000.0,96.0,344,53248,0.006460336538461538,0.0,29,319488,88
Bach - 024432b_.csv,625000.0,96.0,207,49152,0.00421142578125,0.0,29,245760,65
Bach - 024437b_.csv,681818.0,88.00002346667293,218,53248,0.004094050480769231,0.0,23,266240,63
Bach - 024440b_.csv,625000.0,96.0,310,66048,0.004693556201550387,0.0,27,330240,83
