tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity,control,value
8661,note_on,,,,,7,0,1,,,0,73,47,,
8710,note_off,,,,,49,0,1,,,0,73,64,,
8712,note_on,,,,,2,0,1,,,0,75,51,,
8772,note_off,,,,,60,0,1,,,0,75,64,,
8774,note_on,,,,,2,0,1,,,0,73,39,,
8816,note_off,,,,,42,0,1,,,0,73,64,,
8822,note_on,,,,,6,0,1,,,0,70,31,,
8868,note_on,,,,,46,0,1,,,0,66,38,,
8869,note_off,,,,,1,0,1,,,0,70,64,,
8945,note_on,,,,,76,0,1,,,0,63,66,,
8958,note_off,,,,,13,0,1,,,0,66,64,,
9077,note_on,,,,,0,0,1,,,0,53,38,,
9077,note_on,,,,,119,0,1,,,0,58,42,,
9101,control_change,,,,,24,0,1,,,0,,,64,127
9144,note_off,,,,,43,0,1,,,0,53,64,,
9144,note_off,,,,,0,0,1,,,0,63,64,,
9148,note_on,,,,,4,0,1,,,0,61,57,,
9162,note_off,,,,,14,0,1,,,0,58,64,,
9206,note_on,,,,,44,0,1,,,0,56,38,,
9208,note_off,,,,,2,0,1,,,0,61,64,,
9209,note_on,,,,,1,0,1,,,0,65,61,,
9210,note_on,,,,,1,0,1,,,0,47,48,,
9247,note_off,,,,,37,0,1,,,0,47,64,,
9266,note_on,,,,,19,0,1,,,0,68,59,,
9269,note_off,,,,,3,0,1,,,0,65,64,,
9273,note_off,,,,,4,0,1,,,0,56,64,,
9285,control_change,,,,,12,0,1,,,0,,,64,0
9324,note_on,,,,,39,0,1,,,0,75,70,,
9348,note_off,,,,,24,0,1,,,0,68,64,,
9429,note_on,,,,,81,0,1,,,0,65,51,,
9430,note_on,,,,,1,0,1,,,0,56,41,,
9500,control_change,,,,,70,0,1,,,0,,,64,127
9506,note_on,,,,,6,0,1,,,0,73,54,,
9507,note_off,,,,,1,0,1,,,0,65,64,,
9526,note_off,,,,,19,0,1,,,0,75,64,,
9535,note_off,,,,,9,0,1,,,0,56,64,,
9546,note_on,,,,,11,0,1,,,0,63,42,,
9554,note_on,,,,,8,0,1,,,0,68,51,,
9569,note_on,,,,,15,0,1,,,0,59,20,,
9575,note_off,,,,,6,0,1,,,0,73,64,,
9576,note_off,,,,,1,0,1,,,0,63,64,,
9602,note_off,,,,,26,0,1,,,0,59,64,,
9605,note_off,,,,,3,0,1,,,0,68,64,,
9609,note_on,,,,,4,0,1,,,0,65,62,,
9615,control_change,,,,,6,0,1,,,0,,,64,0
9667,note_on,,,,,52,0,1,,,0,63,73,,
9687,note_off,,,,,20,0,1,,,0,65,64,,
9773,note_on,,,,,86,0,1,,,0,58,40,,
9785,note_on,,,,,12,0,1,,,0,53,56,,
9799,control_change,,,,,14,0,1,,,0,,,64,127
9813,note_off,,,,,14,0,1,,,0,53,64,,
9823,note_off,,,,,10,0,1,,,0,63,64,,
9830,note_on,,,,,7,0,1,,,0,61,68,,
9844,note_off,,,,,14,0,1,,,0,58,64,,
9885,note_on,,,,,41,0,1,,,0,65,60,,
9891,note_on,,,,,6,0,1,,,0,56,44,,
9896,note_off,,,,,5,0,1,,,0,61,64,,
9903,note_on,,,,,7,0,1,,,0,47,32,,
9930,control_change,,,,,27,0,1,,,0,,,64,0
9932,note_off,,,,,2,0,1,,,0,47,64,,
9937,note_off,,,,,5,0,1,,,0,56,64,,
9938,note_on,,,,,1,0,1,,,0,68,65,,
9945,note_off,,,,,7,0,1,,,0,65,64,,
9999,note_on,,,,,54,0,1,,,0,75,70,,
10019,note_off,,,,,20,0,1,,,0,68,64,,
10106,note_on,,,,,87,0,1,,,0,65,45,,
10107,note_on,,,,,1,0,1,,,0,56,40,,
10164,note_off,,,,,57,0,1,,,0,65,64,,
10171,note_on,,,,,7,0,1,,,0,73,56,,
10176,control_change,,,,,5,0,1,,,0,,,64,127
10186,note_off,,,,,10,0,1,,,0,75,64,,
10218,note_off,,,,,32,0,1,,,0,56,64,,
10224,note_on,,,,,0,0,1,,,0,63,34,,
10224,note_on,,,,,6,0,1,,,0,68,48,,
10245,note_off,,,,,21,0,1,,,0,73,64,,
10245,note_on,,,,,0,0,1,,,0,59,16,,
10253,note_off,,,,,8,0,1,,,0,63,64,,
10279,note_off,,,,,26,0,1,,,0,59,64,,
10279,note_on,,,,,0,0,1,,,0,65,57,,
10284,control_change,,,,,5,0,1,,,0,,,64,0
10286,note_off,,,,,2,0,1,,,0,68,64,,
10349,note_on,,,,,63,0,1,,,0,63,73,,
10366,note_off,,,,,17,0,1,,,0,65,64,,
10468,note_on,,,,,102,0,1,,,0,54,40,,
10469,note_on,,,,,1,0,1,,,0,59,47,,
10514,note_off,,,,,45,0,1,,,0,63,64,,
10514,control_change,,,,,0,0,1,,,0,,,64,127
10517,note_on,,,,,3,0,1,,,0,61,75,,
10533,note_off,,,,,16,0,1,,,0,54,64,,
10545,note_off,,,,,12,0,1,,,0,59,64,,
10577,note_on,,,,,32,0,1,,,0,49,46,,
10578,note_off,,,,,1,0,1,,,0,61,64,,
10578,note_on,,,,,0,0,1,,,0,66,68,,
10587,note_on,,,,,9,0,1,,,0,58,38,,
10605,note_off,,,,,18,0,1,,,0,49,64,,
10621,note_off,,,,,16,0,1,,,0,58,64,,
10632,note_on,,,,,11,0,1,,,0,70,68,,
10644,note_off,,,,,12,0,1,,,0,66,64,,
10660,control_change,,,,,16,0,1,,,0,,,64,0
