tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
11796,note_off,,,,,36,0,1,,,0,,,77,64
11804,note_off,,,,,8,0,1,,,0,,,86,64
11806,note_off,,,,,2,0,1,,,0,,,92,64
11852,note_on,,,,,46,0,1,,,0,,,76,49
11854,note_on,,,,,0,0,1,,,0,,,82,47
11854,note_on,,,,,2,0,1,,,0,,,91,60
11858,note_on,,,,,4,0,1,,,0,,,85,63
11888,note_off,,,,,30,0,1,,,0,,,76,64
11892,note_off,,,,,4,0,1,,,0,,,85,64
11902,note_off,,,,,10,0,1,,,0,,,82,64
11902,note_off,,,,,0,0,1,,,0,,,91,64
11948,note_on,,,,,46,0,1,,,0,,,90,66
11952,note_on,,,,,4,0,1,,,0,,,81,63
11954,note_on,,,,,2,0,1,,,0,,,84,62
11956,note_on,,,,,2,0,1,,,0,,,75,63
11992,note_off,,,,,36,0,1,,,0,,,81,64
12008,note_off,,,,,16,0,1,,,0,,,90,64
12010,note_off,,,,,2,0,1,,,0,,,75,64
12016,set_tempo,,,,,324,1,0,480000,,,,,,
12020,note_off,,,,,10,0,1,,,0,,,84,64
12048,note_on,,,,,28,0,1,,,0,,,89,67
12054,note_on,,,,,0,0,1,,,0,,,74,63
12054,note_on,,,,,6,0,1,,,0,,,80,56
12056,note_on,,,,,2,0,1,,,0,,,83,59
12090,note_off,,,,,34,0,1,,,0,,,74,64
12096,note_off,,,,,6,0,1,,,0,,,83,64
12104,note_off,,,,,8,0,1,,,0,,,80,64
12112,set_tempo,,,,,96,1,0,483871,,,,,,
12138,control_change,,,,,34,0,1,,,0,64,0,,
12150,note_off,,,,,12,0,1,,,0,,,89,64
12156,note_on,,,,,0,0,1,,,0,,,82,62
12156,note_on,,,,,0,0,1,,,0,,,73,70
12156,note_on,,,,,6,0,1,,,0,,,88,66
12162,note_on,,,,,6,0,1,,,0,,,79,66
12168,control_change,,,,,6,0,1,,,0,64,127,,
12194,note_off,,,,,26,0,1,,,0,,,79,64
12204,set_tempo,,,,,92,1,0,487805,,,,,,
12210,note_off,,,,,16,0,1,,,0,,,73,64
12222,note_off,,,,,12,0,1,,,0,,,88,64
12262,note_on,,,,,40,0,1,,,0,,,78,21
12268,note_on,,,,,6,0,1,,,0,,,87,53
12274,note_on,,,,,6,0,1,,,0,,,72,62
12276,note_on,,,,,2,0,1,,,0,,,81,70
12296,note_off,,,,,20,0,1,,,0,,,82,64
12300,set_tempo,,,,,96,1,0,491803,,,,,,
12312,note_off,,,,,16,0,1,,,0,,,72,64
12316,note_off,,,,,4,0,1,,,0,,,78,64
12340,note_off,,,,,24,0,1,,,0,,,87,64
12350,note_off,,,,,10,0,1,,,0,,,81,64
12390,note_on,,,,,40,0,1,,,0,,,86,70
12390,note_on,,,,,0,0,1,,,0,,,77,59
12392,set_tempo,,,,,92,1,0,495868,,,,,,
12392,note_on,,,,,2,0,1,,,0,,,71,64
12398,note_on,,,,,6,0,1,,,0,,,80,60
12430,note_off,,,,,32,0,1,,,0,,,77,64
12436,note_off,,,,,6,0,1,,,0,,,71,64
12488,set_tempo,,,,,96,1,0,500000,,,,,,
12494,note_off,,,,,58,0,1,,,0,,,80,64
12502,note_off,,,,,8,0,1,,,0,,,86,64
12514,note_on,,,,,12,0,1,,,0,,,70,74
12516,note_on,,,,,2,0,1,,,0,,,85,69
12516,note_on,,,,,0,0,1,,,0,,,79,60
12518,note_on,,,,,2,0,1,,,0,,,76,56
12524,control_change,,,,,6,0,1,,,0,64,0,,
12532,control_change,,,,,8,0,1,,,0,64,127,,
