tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,control,value,channel,note,velocity
363374,note_on,,,,,0,0,1,,,,0,74,84
363384,note_off,,,,,10,0,1,,,,0,52,64
363436,set_tempo,,,,,204,1,0,275229,,,,,
363488,control_change,,,,,104,0,1,,64,0,0,,
363528,note_on,,,,,40,0,1,,,,0,61,94
363530,note_on,,,,,2,0,1,,,,0,49,93
363556,note_off,,,,,26,0,1,,,,0,69,64
363560,control_change,,,,,4,0,1,,64,127,0,,
363580,note_off,,,,,20,0,1,,,,0,74,64
363582,note_off,,,,,2,0,1,,,,0,49,64
363584,note_off,,,,,2,0,1,,,,0,61,64
363590,note_off,,,,,6,0,1,,,,0,78,64
363640,set_tempo,,,,,204,1,0,272727,,,,,
363670,note_on,,,,,80,0,1,,,,0,62,90
363674,note_on,,,,,4,0,1,,,,0,50,78
363714,note_off,,,,,40,0,1,,,,0,62,64
363768,note_off,,,,,54,0,1,,,,0,50,64
363840,set_tempo,,,,,200,1,0,270270,,,,,
363852,note_on,,,,,84,0,1,,,,0,90,85
363854,note_on,,,,,2,0,1,,,,0,78,88
363856,note_on,,,,,2,0,1,,,,0,81,80
